Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1969,1969,ha,59258754,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1969,1969,hg/ha,34643,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1969,1969,tonnes,205288170,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1970,1970,ha,59229150,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1970,1970,hg/ha,31549,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1970,1970,tonnes,186860751,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1971,1971,ha,63782293,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1971,1971,hg/ha,37256,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1971,1971,tonnes,237624461,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1972,1972,ha,58369291,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1972,1972,hg/ha,39082,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1972,1972,tonnes,228117866,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1973,1973,ha,64531443,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1973,1973,hg/ha,36832,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1973,1973,tonnes,237683006,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1974,1974,ha,68262068,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1974,1974,hg/ha,29975,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1974,1974,tonnes,204617505,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1975,1975,ha,72020441,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1975,1975,hg/ha,34613,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1975,1975,tonnes,249283743,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1976,1976,ha,73082438,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1976,1976,hg/ha,35330,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1976,1976,tonnes,258200097,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1977,1977,ha,72223053,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1977,1977,hg/ha,36832,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1977,1977,tonnes,266014469,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1978,1978,ha,67303432,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1978,1978,hg/ha,41098,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1978,1978,tonnes,276602542,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1979,1979,ha,68371362,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1979,1979,hg/ha,44262,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1979,1979,tonnes,302625580,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1980,1980,ha,71550444,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1980,1980,hg/ha,37719,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1980,1980,tonnes,269883982,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1981,1981,ha,77733138,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1981,1981,hg/ha,42567,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1981,1981,tonnes,330889528,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1982,1982,ha,76214787,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1982,1982,hg/ha,43706,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1982,1982,tonnes,333103755,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1983,1983,ha,58729146,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1983,1983,hg/ha,35359,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1983,1983,tonnes,207657604,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1984,1984,ha,71957016,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1984,1984,hg/ha,43741,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1984,1984,tonnes,314749500,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1985,1985,ha,72873500,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1985,1985,hg/ha,47633,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1985,1985,tonnes,347118216,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1986,1986,ha,67107716,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1986,1986,hg/ha,46989,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1986,1986,tonnes,315331216,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1987,1987,ha,59233504,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1987,1987,hg/ha,47354,I,Imputed value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1987,1987,tonnes,280494047,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1988,1988,ha,55714416,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1988,1988,hg/ha,37069,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1988,1988,tonnes,206528100,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1989,1989,ha,63533008,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1989,1989,hg/ha,44739,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1989,1989,tonnes,284238058,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1990,1990,ha,65700000,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1990,1990,hg/ha,47551,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1990,1990,tonnes,312410604,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1991,1991,ha,62131075,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1991,1991,hg/ha,45076,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1991,1991,tonnes,280063391,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1992,1992,ha,65890404,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1992,1992,hg/ha,53578,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1992,1992,tonnes,353025147,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1993,1993,ha,60273827,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1993,1993,hg/ha,42988,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1993,1993,tonnes,259105342,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1994,1994,ha,64017419,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1994,1994,hg/ha,55600,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1994,1994,tonnes,355934924,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1995,1995,ha,59766550,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1995,1995,hg/ha,46448,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1995,1995,tonnes,277601210,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1996,1996,ha,64881026,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1996,1996,hg/ha,51753,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1996,1996,tonnes,335780123,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1997,1997,ha,63803406,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1997,1997,hg/ha,52753,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1997,1997,tonnes,336582161,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1998,1998,ha,61556513,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1998,1998,hg/ha,56765,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1998,1998,tonnes,349425744,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",1999,1999,ha,58461970,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",1999,1999,hg/ha,57365,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",1999,1999,tonnes,335364364,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2000,2000,ha,58526104,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2000,2000,hg/ha,58543,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2000,2000,tonnes,342631506,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2001,2001,ha,55166824,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2001,2001,hg/ha,58911,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2001,2001,tonnes,324994634,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2002,2002,ha,53570702,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2002,2002,hg/ha,55468,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2002,2002,tonnes,297143452,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2003,2003,ha,57813092,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2003,2003,hg/ha,60237,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2003,2003,tonnes,348247631,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2004,2004,ha,56782664,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2004,2004,hg/ha,68511,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2004,2004,tonnes,389023763,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2005,2005,ha,56805877,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2005,2005,hg/ha,64507,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2005,2005,tonnes,366436346,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2006,2006,ha,52861862,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2006,2006,hg/ha,64004,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2006,2006,tonnes,338336800,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2007,2007,ha,61919594,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2007,2007,hg/ha,67044,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2007,2007,tonnes,415130860,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2008,2008,ha,60985598,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2008,2008,hg/ha,65983,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2008,2008,tonnes,402399936,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2009,2009,ha,57937341,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2009,2009,hg/ha,72262,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2009,2009,tonnes,418666166,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2010,2010,ha,57483702,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2010,2010,hg/ha,69781,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2010,2010,tonnes,401126330,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2011,2011,ha,56668632,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2011,2011,hg/ha,68035,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2011,2011,tonnes,385545256,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2012,2012,ha,60253274,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2012,2012,hg/ha,59119,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2012,2012,tonnes,356210124,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2013,2013,ha,59486800,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2013,2013,hg/ha,73009,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2013,2013,tonnes,434308450,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2014,2014,ha,57979030,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2014,2014,hg/ha,76381,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2014,2014,tonnes,442849090,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2015,2015,ha,58124740,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2015,2015,hg/ha,74301,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2015,2015,tonnes,431870371,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2016,2016,ha,58445763,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2016,2016,hg/ha,86142,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2016,2016,tonnes,503466147,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2017,2017,ha,53165235,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2017,2017,hg/ha,82812,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2017,2017,tonnes,440272862,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2018,2018,ha,53649052,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2018,2018,hg/ha,81961,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2018,2018,tonnes,439711070,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2019,2019,ha,52572211,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2019,2019,hg/ha,80056,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2019,2019,tonnes,420873484,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5312,Area harvested,1717,"Cereals, Total",2020,2020,ha,53195570,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5419,Yield,1717,"Cereals, Total",2020,2020,hg/ha,81750,E,Estimated value
QCL,Crops and livestock products,231,United States of America,5510,Production,1717,"Cereals, Total",2020,2020,tonnes,434875197,E,Estimated value
